step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
1,3,D,True,1.1,0.2465,0.2605,0.2465,0.2465,1.1,0.11,,stage4_8,cost_mechanistic
2,3,A,True,1.1,0.2559,0.2571,0.2435,0.2435,0.99,0.209,,stage4_8,cost_mechanistic
3,2,A,True,1.1,0.2605,0.2465,0.2465,0.2465,1.1,0.11,5.957,stage4_7,cost_mechanistic
4,0,E,False,-0.25,0.2508,0.2508,0.2508,0.2477,-0.25,-0.025,,stage4_7,cost_mechanistic
5,3,D,True,1.1,0.2528,0.2656,0.2408,0.2408,0.891,0.2981,6.91,stage4_7,cost_mechanistic
6,1,A,False,0.1,0.2509,0.2497,0.2497,0.2497,0.1,0.01,,stage4_8,cost_mechanistic
7,0,A,True,1.1,0.2615,0.2472,0.2472,0.2442,1.125,0.0875,,stage4_8,cost_mechanistic
8,1,F,False,0.0896,0.2507,0.2494,0.2504,0.2494,0.0796,0.018,8.025,stage4_7,cost_mechanistic
9,0,E,False,-0.25,0.2626,0.2482,0.2482,0.241,-0.3375,0.0538,,stage4_7,cost_mechanistic
10,0,D,False,0.1,0.2624,0.2486,0.248,0.2409,0.0462,0.0584,,stage4_8,cost_mechanistic
11,1,A,False,0.1,0.2515,0.2492,0.2502,0.2492,0.082,0.0262,,stage4_8,cost_mechanistic
12,2,A,True,1.1,0.27,0.2433,0.2433,0.2433,0.99,0.209,,stage4_8,cost_mechanistic
13,0,E,False,-0.25,0.2635,0.2495,0.249,0.2381,-0.3084,0.0275,,stage4_7,cost_mechanistic
14,0,D,False,0.1,0.2632,0.2502,0.2487,0.2378,0.0725,0.0348,6.21,stage4_7,cost_mechanistic
15,1,D,False,0.0995,0.2512,0.2499,0.2499,0.249,0.0734,0.0335,14.068,stage4_7,cost_mechanistic
16,3,E,False,0.05,0.2536,0.2665,0.2415,0.2385,-0.2481,0.2733,,stage4_7,cost_mechanistic
17,3,F,False,-0.25,0.2552,0.2682,0.2366,0.2399,-0.5233,0.221,,stage4_7,cost_mechanistic
18,3,E,False,0.05,0.2557,0.2688,0.2371,0.2383,-0.171,0.2039,,stage4_7,cost_mechanistic
19,0,F,False,0.1,0.263,0.25,0.2493,0.2377,0.0652,0.0413,,stage4_8,cost_mechanistic
20,3,A,True,1.1,0.2643,0.2655,0.2345,0.2357,0.8961,0.2935,4.599,stage4_7,cost_mechanistic
21,1,E,True,1.05,0.248,0.2467,0.2467,0.2586,1.0165,0.1351,,stage4_7,cost_mechanistic
22,0,E,False,-0.25,0.2639,0.2509,0.2502,0.235,-0.2913,0.0122,,stage4_7,cost_mechanistic
23,0,E,False,0.05,0.2638,0.2508,0.2501,0.2353,0.0378,0.016,,stage4_7,cost_mechanistic
24,2,A,True,1.1,0.2786,0.2405,0.2405,0.2405,0.891,0.2981,5.957,stage4_7,cost_mechanistic
25,1,F,False,0.0902,0.2481,0.2468,0.2463,0.2587,-0.0449,0.1307,6.649,stage4_7,cost_mechanistic
26,3,E,True,1.05,0.2618,0.263,0.2325,0.2427,0.7565,0.3691,,stage4_7,cost_mechanistic
27,0,E,False,-0.25,0.2647,0.2515,0.2509,0.2329,-0.266,-0.0106,,stage4_7,cost_mechanistic
28,0,D,False,0.1,0.2643,0.2526,0.2505,0.2326,0.1106,0.0004,6.21,stage4_7,cost_mechanistic
29,2,D,True,1.1,0.2756,0.248,0.2382,0.2382,0.8019,0.3783,6.599,stage4_7,cost_mechanistic
30,2,D,True,1.1,0.2728,0.2548,0.2362,0.2362,0.7217,0.4505,,stage4_8,cost_mechanistic
31,1,F,False,0.0902,0.2483,0.2469,0.2459,0.2589,-0.0404,0.1266,6.649,stage4_7,cost_mechanistic
32,1,D,False,0.1,0.2483,0.2467,0.246,0.259,-0.0266,0.124,,stage4_8,cost_mechanistic
33,1,F,False,0.1,0.2484,0.2467,0.2458,0.259,-0.024,0.1216,,stage4_8,cost_mechanistic
34,2,F,False,0.0907,0.2741,0.2559,0.2329,0.2371,-0.3598,0.4145,,stage4_8,cost_mechanistic
35,1,F,False,0.0902,0.2485,0.2468,0.2455,0.2591,-0.0313,0.1184,6.649,stage4_7,cost_mechanistic
36,0,D,False,0.1,0.264,0.2535,0.2502,0.2323,0.0996,0.0104,,stage4_8,cost_mechanistic
37,0,E,False,-0.25,0.2648,0.2543,0.2509,0.23,-0.2604,-0.0157,,stage4_7,cost_mechanistic
38,0,F,False,0.1,0.2644,0.2539,0.252,0.2297,0.1157,-0.0041,6.768,stage4_7,cost_mechanistic
39,3,D,True,1.1,0.2592,0.27,0.2304,0.2404,0.7309,0.4422,,stage4_8,cost_mechanistic
40,0,E,False,-0.25,0.2652,0.2546,0.2528,0.2274,-0.2459,-0.0287,,stage4_7,cost_mechanistic
41,0,E,False,-0.25,0.2659,0.2553,0.2534,0.2254,-0.2213,-0.0508,,stage4_7,cost_mechanistic
42,1,F,False,0.0896,0.2486,0.2469,0.2452,0.2592,-0.0289,0.1155,8.025,stage4_7,cost_mechanistic
43,1,F,False,0.0901,0.2487,0.247,0.245,0.2593,-0.0255,0.113,,stage4_8,cost_mechanistic
44,3,E,True,1.05,0.2572,0.2678,0.2289,0.2461,0.6078,0.503,,stage4_7,cost_mechanistic
45,1,D,False,0.1,0.2487,0.2469,0.245,0.2594,-0.013,0.1117,,stage4_8,cost_mechanistic
46,2,A,True,1.1,0.2808,0.2534,0.2308,0.235,0.6855,0.483,,stage4_8,cost_mechanistic
47,1,D,False,0.1,0.2487,0.2468,0.2451,0.2594,-0.0117,0.1105,,stage4_8,cost_mechanistic
48,2,A,True,1.1,0.2868,0.2512,0.229,0.2331,0.617,0.5447,5.957,stage4_7,cost_mechanistic
49,1,E,False,0.05,0.2489,0.247,0.2453,0.2588,-0.0605,0.1045,,stage4_7,cost_mechanistic
50,3,E,True,1.05,0.2554,0.2659,0.2275,0.2512,0.547,0.5577,,stage4_7,cost_mechanistic
51,0,A,False,0.0998,0.2673,0.2548,0.2529,0.225,0.1506,-0.0357,5.045,stage4_7,cost_mechanistic
52,3,A,True,1.1,0.2606,0.2639,0.226,0.2495,0.5423,0.6119,,stage4_8,cost_mechanistic
53,3,D,True,1.1,0.2588,0.2686,0.2247,0.2479,0.4881,0.6607,,stage4_8,cost_mechanistic
54,2,F,True,1.1,0.2847,0.2496,0.2341,0.2317,0.5553,0.6003,,stage4_8,cost_mechanistic
55,3,F,False,-0.25,0.2615,0.2716,0.2166,0.2503,-0.9107,0.5697,,stage4_7,cost_mechanistic
56,2,A,True,1.1,0.2895,0.2478,0.2325,0.2301,0.4997,0.6502,6.285,stage4_7,cost_mechanistic
