step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
1,0,A,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,5.045,stage4_7,cost_asr
2,1,D,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_8,cost_asr
3,0,E,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_7,cost_asr
4,1,F,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,6.649,stage4_7,cost_asr
5,2,F,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_8,cost_asr
6,0,D,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_8,cost_asr
7,3,E,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_7,cost_asr
8,1,F,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,16.048,stage4_7,cost_asr
9,0,A,True,1.0,0.2595,0.2468,0.2468,0.2468,1.0,0.1,4.688,stage4_7,cost_asr
10,3,D,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,6.343,stage4_7,cost_asr
11,2,A,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_8,cost_asr
12,3,E,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_7,cost_asr
13,3,E,True,1.0,0.2468,0.2468,0.2468,0.2595,1.0,0.1,,stage4_7,cost_asr
14,1,D,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_8,cost_asr
15,1,D,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_8,cost_asr
16,0,E,False,0.0,0.2598,0.2471,0.2471,0.2459,-0.1,0.09,,stage4_7,cost_asr
17,2,A,True,1.0,0.2595,0.2468,0.2468,0.2468,1.0,0.1,,stage4_8,cost_asr
18,3,A,True,1.0,0.2553,0.2441,0.2441,0.2565,0.9,0.19,,stage4_8,cost_asr
19,2,A,True,1.0,0.2681,0.244,0.244,0.244,0.9,0.19,6.285,stage4_7,cost_asr
20,0,D,False,0.0,0.2601,0.2463,0.2474,0.2462,-0.09,0.081,6.21,stage4_7,cost_asr
21,3,F,True,1.0,0.2527,0.2417,0.2517,0.2538,0.81,0.271,,stage4_8,cost_asr
22,3,E,False,0.0,0.2536,0.2425,0.2526,0.2513,-0.271,0.2439,,stage4_7,cost_asr
23,1,A,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_8,cost_asr
24,3,E,True,1.0,0.2511,0.2403,0.2501,0.2585,0.7561,0.3195,,stage4_7,cost_asr
25,2,F,False,0.0,0.2688,0.2445,0.2422,0.2445,-0.19,0.171,,stage4_8,cost_asr
26,0,E,False,0.0,0.2604,0.2465,0.2477,0.2454,-0.081,0.0729,,stage4_7,cost_asr
27,1,E,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_7,cost_asr
