step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
1,2,E,True,1.05,0.2467,0.2467,0.2467,0.26,1.05,0.105,,stage4_7,cost_mechanistic
2,2,F,False,0.0254,0.2469,0.2469,0.2459,0.2602,-0.0796,0.097,6.928,stage4_7,cost_mechanistic
3,0,A,False,0.0998,0.2509,0.2497,0.2497,0.2497,0.0998,0.01,5.045,stage4_7,cost_mechanistic
4,0,F,False,0.1,0.2507,0.2494,0.2505,0.2494,0.09,0.019,,stage4_8,cost_mechanistic
5,1,E,False,-0.25,0.2508,0.2508,0.2508,0.2477,-0.25,-0.025,,stage4_7,cost_mechanistic
6,2,A,True,1.1,0.2564,0.2439,0.2429,0.2568,1.003,0.1973,,stage4_8,cost_mechanistic
7,0,E,False,-0.25,0.2515,0.2502,0.2514,0.2469,-0.269,-0.0079,,stage4_7,cost_mechanistic
8,3,A,True,1.1,0.2605,0.2465,0.2465,0.2465,1.1,0.11,4.599,stage4_7,cost_mechanistic
9,3,A,True,1.1,0.27,0.2433,0.2433,0.2433,0.99,0.209,,stage4_8,cost_mechanistic
10,1,F,False,0.0114,0.2507,0.2507,0.2511,0.2476,0.0364,-0.0214,,stage4_8,cost_mechanistic
11,1,F,False,0.0984,0.2503,0.2503,0.2522,0.2472,0.1198,-0.0094,16.048,stage4_7,cost_mechanistic
12,1,E,False,-0.25,0.251,0.251,0.253,0.2449,-0.2406,-0.0334,,stage4_7,cost_mechanistic
13,3,F,True,1.0997,0.2668,0.2408,0.2517,0.2408,0.8907,0.2981,,stage4_8,cost_mechanistic
14,0,D,False,0.1,0.2512,0.2513,0.251,0.2466,0.1079,0.0029,,stage4_8,cost_mechanistic
15,2,D,True,1.1,0.2535,0.2523,0.2403,0.2539,0.9027,0.2876,,stage4_8,cost_mechanistic
16,3,A,True,1.1,0.2745,0.2382,0.249,0.2382,0.8019,0.3783,,stage4_8,cost_mechanistic
17,1,A,False,0.1,0.2523,0.2506,0.2526,0.2445,0.1334,-0.0201,,stage4_8,cost_mechanistic
18,0,E,False,-0.25,0.2519,0.252,0.2518,0.2442,-0.2529,-0.0224,,stage4_7,cost_mechanistic
19,3,D,True,1.1,0.2719,0.245,0.2468,0.2363,0.7217,0.4504,8.197,stage4_7,cost_mechanistic
20,1,D,False,0.1,0.2519,0.2517,0.2522,0.2442,0.1201,-0.0081,,stage4_8,cost_mechanistic
21,0,E,False,-0.25,0.2526,0.2527,0.2525,0.2421,-0.2276,-0.0452,,stage4_7,cost_mechanistic
22,3,A,True,1.1,0.2782,0.2428,0.2447,0.2343,0.6496,0.5154,4.599,stage4_7,cost_mechanistic
