step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
1,1,E,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_7,cost_l22_deflect
2,0,F,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_8,cost_l22_deflect
3,0,A,True,1.2135,0.2615,0.2462,0.2462,0.2462,1.2135,0.1214,4.688,stage4_7,cost_l22_deflect
4,0,A,True,1.0,0.27,0.2433,0.2433,0.2433,0.8786,0.2092,,stage4_8,cost_l22_deflect
5,1,A,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_8,cost_l22_deflect
6,1,E,False,-0.3,0.2509,0.2509,0.2509,0.2472,-0.3,-0.03,,stage4_7,cost_l22_deflect
7,0,D,False,-0.3,0.2718,0.2386,0.2448,0.2448,-0.5092,0.1583,,stage4_7,cost_l22_deflect
8,2,E,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_7,cost_l22_deflect
9,1,F,False,0.0,0.2508,0.2508,0.2512,0.2471,0.03,-0.027,,stage4_8,cost_l22_deflect
10,3,A,True,1.0,0.2595,0.2468,0.2468,0.2468,1.0,0.1,,stage4_8,cost_l22_deflect
11,2,D,True,1.0,0.2468,0.2595,0.2468,0.2468,1.0,0.1,,stage4_8,cost_l22_deflect
12,1,D,False,0.0,0.2508,0.2511,0.2511,0.247,0.027,-0.0243,,stage4_8,cost_l22_deflect
13,2,F,False,0.0,0.2471,0.2598,0.2459,0.2471,-0.1,0.09,,stage4_8,cost_l22_deflect
14,1,F,False,0.0,0.2507,0.251,0.2514,0.2469,0.0243,-0.0219,,stage4_8,cost_l22_deflect
15,2,D,True,1.0742,0.244,0.2693,0.2428,0.244,0.9842,0.1884,6.599,stage4_7,cost_l22_deflect
16,1,F,False,0.0,0.2506,0.2509,0.2516,0.2469,0.0219,-0.0197,,stage4_8,cost_l22_deflect
17,3,D,True,1.0,0.2565,0.2553,0.2441,0.2441,0.9,0.19,,stage4_8,cost_l22_deflect
18,3,F,True,1.0,0.2538,0.2527,0.2517,0.2417,0.81,0.271,,stage4_8,cost_l22_deflect
19,3,D,True,1.0516,0.2513,0.2601,0.2492,0.2394,0.7806,0.3491,6.91,stage4_7,cost_l22_deflect
20,2,E,False,0.0,0.2445,0.2699,0.2433,0.2422,-0.1884,0.1696,,stage4_7,cost_l22_deflect
21,3,A,True,1.0,0.2574,0.2579,0.2471,0.2375,0.6509,0.4142,,stage4_8,cost_l22_deflect
22,2,E,False,0.0,0.245,0.2705,0.2438,0.2407,-0.1696,0.1526,,stage4_7,cost_l22_deflect
23,0,E,False,-0.3,0.2734,0.2399,0.2461,0.2405,-0.4583,0.1125,,stage4_7,cost_l22_deflect
24,2,E,True,1.0,0.2425,0.2675,0.2414,0.2486,0.8474,0.2374,,stage4_7,cost_l22_deflect
25,0,D,False,0.0,0.2738,0.2389,0.2464,0.2409,-0.1125,0.1012,,stage4_8,cost_l22_deflect
26,2,A,True,1.0,0.2497,0.2648,0.2392,0.2463,0.7626,0.3136,,stage4_8,cost_l22_deflect
27,0,F,False,0.0,0.2742,0.2391,0.2455,0.2411,-0.1012,0.0911,,stage4_8,cost_l22_deflect
28,1,A,False,0.0,0.2508,0.2509,0.2515,0.2468,0.0197,-0.0177,,stage4_8,cost_l22_deflect
