step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
1,3,D,True,1.0,0.2468,0.2595,0.2468,0.2468,1.0,0.1,,stage4_8,cost_l22_deflect
2,3,E,True,1.0,0.2441,0.2565,0.2441,0.2553,0.9,0.19,,stage4_7,cost_l22_deflect
3,2,F,True,1.0,0.2468,0.2468,0.2595,0.2468,1.0,0.1,,stage4_8,cost_l22_deflect
4,0,E,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_7,cost_l22_deflect
5,2,D,True,1.0,0.2441,0.2553,0.2565,0.2441,0.9,0.19,,stage4_8,cost_l22_deflect
6,3,F,True,1.0,0.2417,0.2538,0.2517,0.2527,0.81,0.271,,stage4_8,cost_l22_deflect
7,0,D,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_8,cost_l22_deflect
8,1,E,False,-0.3,0.2509,0.2509,0.2509,0.2472,-0.3,-0.03,,stage4_7,cost_l22_deflect
9,2,F,False,-0.0228,0.2447,0.256,0.2545,0.2447,-0.2128,0.1687,7.929,stage4_7,cost_l22_deflect
10,3,A,True,1.1058,0.2495,0.2512,0.2491,0.2501,0.8348,0.3545,6.166,stage4_7,cost_l22_deflect
11,2,A,True,0.961,0.2522,0.2535,0.2519,0.2424,0.7923,0.248,8.152,stage4_7,cost_l22_deflect
12,1,A,False,0.0,0.2512,0.2508,0.2508,0.2471,0.03,-0.027,,stage4_8,cost_l22_deflect
13,2,F,True,1.0,0.2498,0.251,0.2591,0.2402,0.752,0.3232,,stage4_8,cost_l22_deflect
14,1,A,False,0.0,0.2515,0.2508,0.2508,0.247,0.027,-0.0243,,stage4_8,cost_l22_deflect
15,0,F,False,0.0,0.25,0.25,0.25,0.25,0.0,0.0,,stage4_8,cost_l22_deflect
16,2,E,False,0.0,0.2507,0.252,0.2601,0.2372,-0.3232,0.2908,,stage4_7,cost_l22_deflect
17,1,D,False,0.1124,0.251,0.252,0.2503,0.2466,0.1367,-0.0106,6.075,stage4_7,cost_l22_deflect
18,1,E,False,-0.3,0.2519,0.2529,0.2512,0.2439,-0.2894,-0.0396,,stage4_7,cost_l22_deflect
19,0,E,False,-0.3,0.2509,0.2509,0.2509,0.2472,-0.3,-0.03,,stage4_7,cost_l22_deflect
20,2,D,True,1.0,0.2485,0.2587,0.2577,0.2352,0.7092,0.3618,,stage4_8,cost_l22_deflect
21,0,E,False,-0.3,0.2518,0.2518,0.2518,0.2447,-0.27,-0.057,,stage4_7,cost_l22_deflect
22,2,A,False,0.0,0.2451,0.2599,0.2589,0.2361,-0.3618,0.3256,,stage4_8,cost_l22_deflect
23,2,D,True,1.0742,0.2427,0.2671,0.2562,0.2339,0.7486,0.4004,6.599,stage4_7,cost_l22_deflect
24,0,E,False,-0.3,0.2525,0.2525,0.2525,0.2424,-0.243,-0.0813,,stage4_7,cost_l22_deflect
25,0,D,False,0.1836,0.2517,0.255,0.2517,0.2416,0.2649,-0.0548,5.099,stage4_7,cost_l22_deflect
26,0,A,True,1.0,0.2617,0.2515,0.2483,0.2385,1.0548,0.0507,,stage4_8,cost_l22_deflect
