step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
1,1,E,False,-0.25,0.2508,0.2508,0.2508,0.2477,-0.25,-0.025,,stage4_7,cost_mechanistic
2,3,E,True,1.05,0.2467,0.2467,0.2467,0.26,1.05,0.105,,stage4_7,cost_mechanistic
3,2,F,False,0.0907,0.2497,0.2497,0.2509,0.2497,0.0907,0.0091,,stage4_8,cost_mechanistic
4,1,E,False,-0.25,0.2515,0.2515,0.2515,0.2456,-0.225,-0.0475,,stage4_7,cost_mechanistic
5,3,E,False,0.05,0.2468,0.2468,0.2468,0.2595,-0.055,0.0995,,stage4_7,cost_mechanistic
6,0,E,False,0.05,0.2498,0.2498,0.2498,0.2505,0.05,0.005,,stage4_7,cost_mechanistic
7,0,A,True,1.1,0.2602,0.2464,0.2464,0.247,1.095,0.1145,6.335,stage4_7,cost_mechanistic
8,2,E,True,1.05,0.2464,0.2464,0.2475,0.2596,1.0409,0.1132,,stage4_7,cost_mechanistic
9,2,F,True,1.1,0.2434,0.2434,0.2569,0.2563,0.9868,0.2118,,stage4_8,cost_mechanistic
10,3,F,True,1.0997,0.2438,0.2438,0.2563,0.2561,1.0002,0.1995,,stage4_8,cost_mechanistic
11,1,D,False,0.1,0.251,0.2529,0.251,0.2451,0.1475,-0.0327,,stage4_8,cost_mechanistic
12,2,D,True,1.1,0.2408,0.2518,0.254,0.2534,0.8882,0.3007,,stage4_8,cost_mechanistic
13,1,E,False,-0.25,0.2517,0.2535,0.2517,0.2431,-0.2172,-0.0545,,stage4_7,cost_mechanistic
14,3,A,True,1.1,0.2523,0.2412,0.2534,0.2532,0.9005,0.2896,,stage4_8,cost_mechanistic
15,3,D,True,1.1,0.2498,0.2487,0.2509,0.2506,0.8104,0.3706,,stage4_8,cost_mechanistic
16,1,A,False,0.1,0.2531,0.253,0.2512,0.2426,0.1545,-0.039,,stage4_8,cost_mechanistic
17,0,E,False,0.05,0.2605,0.2466,0.2466,0.2464,-0.0645,0.108,,stage4_7,cost_mechanistic
18,2,E,True,1.05,0.2386,0.2493,0.2515,0.2605,0.7493,0.3756,,stage4_7,cost_mechanistic
19,0,A,True,1.1,0.27,0.2434,0.2434,0.2432,0.992,0.2072,,stage4_8,cost_mechanistic
20,3,E,True,1.05,0.2476,0.2466,0.2487,0.2571,0.6794,0.4386,,stage4_7,cost_mechanistic
21,0,F,False,0.1,0.2704,0.2437,0.2424,0.2435,-0.1072,0.1965,,stage4_8,cost_mechanistic
22,1,E,False,0.05,0.2529,0.2528,0.2509,0.2435,0.089,-0.0301,,stage4_7,cost_mechanistic
23,3,E,True,1.05,0.2457,0.2447,0.2467,0.2629,0.6114,0.4997,,stage4_7,cost_mechanistic
24,3,F,True,1.1,0.2439,0.2429,0.2524,0.2608,0.6003,0.5597,,stage4_8,cost_mechanistic
25,0,D,False,0.1,0.2707,0.2428,0.2427,0.2438,-0.0965,0.1869,,stage4_8,cost_mechanistic
26,1,A,False,0.1,0.2541,0.2523,0.2505,0.2431,0.1301,-0.0171,,stage4_8,cost_mechanistic
27,1,A,True,1.1,0.2648,0.2487,0.2469,0.2397,1.1171,0.0946,8.848,stage4_7,cost_mechanistic
28,2,F,True,1.1,0.2365,0.2471,0.2584,0.258,0.7244,0.448,,stage4_8,cost_mechanistic
29,3,A,True,1.1,0.2489,0.2413,0.2507,0.259,0.5403,0.6138,,stage4_8,cost_mechanistic
30,2,E,False,0.05,0.2377,0.2483,0.2598,0.2543,-0.398,0.4082,,stage4_7,cost_mechanistic
31,1,A,True,1.1,0.2745,0.2454,0.2436,0.2366,1.0054,0.1951,4.398,stage4_7,cost_mechanistic
32,3,E,True,1.05,0.2475,0.24,0.2493,0.2632,0.4362,0.6574,,stage4_7,cost_mechanistic
33,1,A,True,1.1,0.2833,0.2423,0.2406,0.2338,0.9049,0.2856,4.398,stage4_7,cost_mechanistic
34,0,D,False,0.1,0.271,0.242,0.2429,0.244,-0.0869,0.1782,,stage4_8,cost_mechanistic
35,2,E,False,0.05,0.2387,0.2494,0.261,0.2509,-0.3582,0.3724,,stage4_7,cost_mechanistic
36,2,D,True,1.1,0.2366,0.2563,0.2585,0.2486,0.7276,0.4452,,stage4_8,cost_mechanistic
37,2,A,False,0.1,0.2334,0.2574,0.2596,0.2496,-0.3452,0.4107,,stage4_8,cost_mechanistic
38,2,D,True,1.1,0.2315,0.264,0.2572,0.2474,0.6893,0.4796,6.599,stage4_7,cost_mechanistic
39,0,E,False,0.05,0.2715,0.2424,0.2433,0.2429,-0.1282,0.1654,,stage4_7,cost_mechanistic
40,0,E,False,-0.25,0.273,0.2435,0.2445,0.239,-0.4154,0.1238,,stage4_7,cost_mechanistic
41,2,A,True,1.1,0.2372,0.2619,0.2553,0.2456,0.6204,0.5416,,stage4_8,cost_mechanistic
42,2,A,True,1.1,0.2424,0.2601,0.2535,0.244,0.5584,0.5975,8.152,stage4_7,cost_mechanistic
43,2,F,False,0.0918,0.2439,0.2618,0.2488,0.2455,-0.5057,0.5469,,stage4_8,cost_mechanistic
44,1,D,False,0.1,0.284,0.2406,0.2411,0.2342,-0.1856,0.2671,,stage4_8,cost_mechanistic
45,3,F,True,1.1,0.2462,0.2387,0.2534,0.2617,0.4426,0.7016,,stage4_8,cost_mechanistic
46,1,E,False,-0.25,0.2859,0.242,0.2425,0.2295,-0.5171,0.2154,,stage4_7,cost_mechanistic
47,3,E,True,1.05,0.2451,0.2377,0.2523,0.265,0.3484,0.7365,,stage4_7,cost_mechanistic
48,3,D,True,1.1,0.244,0.2411,0.2512,0.2638,0.3635,0.7728,6.91,stage4_7,cost_mechanistic
49,2,A,True,1.1,0.249,0.26,0.2471,0.2439,0.5531,0.6022,6.285,stage4_7,cost_mechanistic
50,2,A,True,1.1,0.2537,0.2583,0.2456,0.2424,0.4978,0.652,6.285,stage4_7,cost_mechanistic
51,1,D,True,1.1,0.2824,0.2503,0.24,0.2273,0.8846,0.3038,14.812,stage4_7,cost_mechanistic
52,0,A,False,0.0998,0.2727,0.2436,0.2446,0.2391,-0.024,0.1214,5.045,stage4_7,cost_mechanistic
53,3,F,True,1.0997,0.243,0.2401,0.2542,0.2626,0.3269,0.8055,,stage4_8,cost_mechanistic
54,2,F,False,0.0254,0.2557,0.2603,0.2398,0.2442,-0.6266,0.5893,6.928,stage4_7,cost_mechanistic
55,3,D,True,1.1,0.2422,0.2428,0.2533,0.2616,0.2945,0.835,,stage4_8,cost_mechanistic
56,2,F,True,1.0973,0.2541,0.2587,0.2445,0.2427,0.508,0.6401,,stage4_8,cost_mechanistic
57,3,D,True,1.1,0.2414,0.2453,0.2525,0.2608,0.265,0.8615,6.91,stage4_7,cost_mechanistic
58,2,A,True,1.1,0.2585,0.2571,0.2431,0.2414,0.4599,0.6861,6.285,stage4_7,cost_mechanistic
59,3,E,True,1.05,0.2409,0.2447,0.2519,0.2625,0.1885,0.8803,,stage4_7,cost_mechanistic
60,2,D,True,1.1,0.257,0.261,0.2418,0.2401,0.4139,0.7275,7.982,stage4_7,cost_mechanistic
61,3,A,True,1.1,0.2429,0.2441,0.2512,0.2618,0.2197,0.9023,4.599,stage4_7,cost_mechanistic
